bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
19.0,122.0,122.0,0.0,100.0,0.0,2324.0,2057.0,267.0,17.235023041474655,89.8989898989899,72.66396685751525,7.704119850187266
20.0,122.0,122.0,0.0,100.0,0.0,2446.0,2179.0,267.0,18.257226644323417,89.8989898989899,71.64176325466647,8.161048689138577
21.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,2569.0,2301.0,268.0,19.279430247172183,90.23569023569024,70.95625998851806,8.585820895522389
22.0,122.0,122.0,0.0,100.0,0.0,2691.0,2423.0,268.0,20.30163385002095,90.23569023569024,69.9340563856693,9.041044776119403
23.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2813.0,2544.0,269.0,21.315458734813575,90.57239057239057,69.256931837577,9.45724907063197
24.0,123.0,121.0,2.0,98.3739837398374,1.6260162601626007,2936.0,2665.0,271.0,22.3292836196062,91.24579124579125,68.91650762618505,9.833948339483396
25.0,122.0,122.0,0.0,100.0,0.0,3058.0,2787.0,271.0,23.351487222454963,91.24579124579125,67.89430402333629,10.284132841328413
26.0,122.0,122.0,0.0,100.0,0.0,3180.0,2909.0,271.0,24.37369082530373,91.24579124579125,66.87210042048753,10.734317343173432
27.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,3303.0,3031.0,272.0,25.39589442815249,91.58249158249158,66.1865971543391,11.143382352941176
28.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,3425.0,3152.0,273.0,26.409719312945118,91.91919191919192,65.5094726062468,11.545787545787546
29.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,3547.0,3273.0,274.0,27.423544197737748,92.25589225589225,64.83234805815451,11.945255474452555
30.0,123.0,123.0,0.0,100.0,0.0,3670.0,3396.0,274.0,28.45412651864265,92.25589225589225,63.801765737249596,12.394160583941606
31.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,3792.0,3517.0,275.0,29.467951403435276,92.5925925925926,63.124641189157316,12.789090909090909
32.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,3914.0,3638.0,276.0,30.481776288227902,92.92929292929293,62.44751664106502,13.181159420289855
33.0,123.0,123.0,0.0,100.0,0.0,4037.0,3761.0,276.0,31.512358609132804,92.92929292929293,61.416934320160124,13.626811594202898
34.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,4159.0,3882.0,277.0,32.52618349392543,93.26599326599326,60.73980977206783,14.014440433212997
35.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,4281.0,4003.0,278.0,33.540008378718056,93.6026936026936,60.06268522397555,14.399280575539569
36.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,4404.0,4125.0,279.0,34.56221198156682,93.93939393939394,59.37718195782712,14.78494623655914
37.0,122.0,122.0,0.0,100.0,0.0,4526.0,4247.0,279.0,35.58441558441559,93.93939393939394,58.35497835497835,15.222222222222221
